date;valeur
25/02/2015;260.44
26/02/2015;260.37
27/02/2015;260.71
02/03/2015;261.31
03/03/2015;262.7
04/03/2015;261.35
05/03/2015;260.74
06/03/2015;261.78
09/03/2015;262.72
10/03/2015;264.33
11/03/2015;263.6
12/03/2015;263.64
13/03/2015;264.47
16/03/2015;264.86
17/03/2015;264.21
18/03/2015;264.32
19/03/2015;263.34
20/03/2015;264.41
23/03/2015;264.46
24/03/2015;263.91
25/03/2015;265.32
26/03/2015;266.05
27/03/2015;266.11
30/03/2015;265.47
31/03/2015;262.56
01/04/2015;258.83
02/04/2015;262.32
03/04/2015;262.64
06/04/2015;262.64
07/04/2015;262.04
08/04/2015;259.98
09/04/2015;258.38
10/04/2015;257.18
13/04/2015;258.63
14/04/2015;258.79
15/04/2015;261.83
16/04/2015;263.17
17/04/2015;264.34
20/04/2015;264.69
21/04/2015;264.02
22/04/2015;264.52
23/04/2015;266.04
24/04/2015;267.38
27/04/2015;267.25
28/04/2015;266.77
29/04/2015;266.03
30/04/2015;264.7
04/05/2015;261.72
05/05/2015;262.08
06/05/2015;264.85
07/05/2015;260.04
08/05/2015;261.08
11/05/2015;262.17
12/05/2015;262.47
13/05/2015;263.03
14/05/2015;263.03
15/05/2015;262.57
18/05/2015;263.58
19/05/2015;262.37
20/05/2015;264.21
21/05/2015;263.67
22/05/2015;265.91
25/05/2015;265.91
26/05/2015;266.38
27/05/2015;268.32
28/05/2015;267.14
29/05/2015;268.0
01/06/2015;267.48
02/06/2015;269.66
03/06/2015;270.31
04/06/2015;271.13
05/06/2015;273.47
08/06/2015;270.46
09/06/2015;274.81
10/06/2015;273.65
11/06/2015;275.02
12/06/2015;273.95
15/06/2015;274.62
16/06/2015;272.77
17/06/2015;275.29
18/06/2015;274.05
19/06/2015;272.62
22/06/2015;274.12
23/06/2015;273.55
24/06/2015;274.32
25/06/2015;274.79
26/06/2015;274.53
29/06/2015;277.32
30/06/2015;278.44
01/07/2015;278.26
02/07/2015;278.59
03/07/2015;277.66
06/07/2015;278.23
07/07/2015;280.75
08/07/2015;281.51
09/07/2015;285.11
10/07/2015;283.81
13/07/2015;285.57
14/07/2015;285.57
15/07/2015;287.88
16/07/2015;290.7
17/07/2015;290.7
20/07/2015;290.3
21/07/2015;291.29
22/07/2015;290.55
23/07/2015;292.58
24/07/2015;298.14
27/07/2015;303.83
28/07/2015;301.22
29/07/2015;299.58
30/07/2015;300.46
31/07/2015;301.22
03/08/2015;300.05
04/08/2015;300.99
05/08/2015;303.09
06/08/2015;299.3
07/08/2015;299.3
10/08/2015;302.49
11/08/2015;302.9
12/08/2015;300.87
13/08/2015;302.32
14/08/2015;302.97
17/08/2015;301.9
18/08/2015;300.13
19/08/2015;300.69
20/08/2015;299.99
21/08/2015;296.33
24/08/2015;294.94
25/08/2015;294.8
26/08/2015;293.8
27/08/2015;295.57
28/08/2015;296.98
31/08/2015;296.33
01/09/2015;295.56
02/09/2015;295.2
03/09/2015;292.79
04/09/2015;293.17
07/09/2015;294.72
08/09/2015;295.12
09/09/2015;295.29
10/09/2015;294.6
11/09/2015;293.74
14/09/2015;295.49
15/09/2015;295.21
16/09/2015;296.07
17/09/2015;294.02
